Target,R2_val,RMSE_val,n_val
CREDITCARDAUTHTRANS,0.418218340502861,2.602219807583298,38
CUSTINVOICEJOUR,0.9693463403604483,0.37703392326812574,93
CUSTINVOICETRANS,0.9820474231553792,0.27868603300205974,93
CUSTTRANS,0.9536068963181089,0.4689368210505426,93
INVENTDIM,0.3542796706321323,2.4311257901886303,82
INVENTTRANSORIGIN,0.8364105472699613,0.9892645535407932,91
LEDGERJOURNALTRANS,0.828096053982762,0.8087989219095332,93
RETAILEODTRANSACTIONSALESTRANS,0.8433865529166777,0.8329144595636119,90
RETAILEODTRANSACTIONTABLE,0.8903807986905792,0.675631885827606,91
RETAILSALESLINE,0.9164965266915963,0.6199377325286235,90
RETAILTRANSACTIONATTRIBUTETRANS,0.2523239373469962,2.1416279754562346,34
RETAILTRANSACTIONPAYMENTTRANS,0.6965790059616225,1.4053963785859818,92
RETAILTRANSACTIONTABLE,1.0,5.877274276146777e-15,93
RETAILTRANSACTIONTAXTRANS,0.8819715060823896,0.7625075997386259,85
SALESTABLE,1.0,8.04227031706831e-16,93
SOURCEDOCUMENTLINE,0.743840872950233,1.2761265189509934,92
TAXTRANS,0.8587894462938734,0.8425595130364718,92
